,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
1018,"1,500 metres",1984,M,2,Silver,Steve Cram,GBR,213.4,NaN
1019,"1,500 metres",1984,M,3,Bronze,JosÃ© Manuel Abascal,ESP,214.3,NaN
1020,"5,000 metres",1984,M,1,Gold,SaÃ¯d Aouita,MAR,785.59,NaN
1021,"5,000 metres",1984,M,2,Silver,Markus Ryffel,SUI,787.54,NaN
1022,"5,000 metres",1984,M,3,Bronze,AntÃ³nio LeitÃ£o,POR,789.2,NaN
1023,"10,000 metres",1984,M,1,Gold,Alberto Cova,ITA,1667.54,NaN
1024,"10,000 metres",1984,M,2,Silver,Mike McLeod,GBR,1686.22,NaN
1025,"10,000 metres",1984,M,3,Bronze,Mike Musyoki,KEN,1686.46,NaN
1026,Marathon,1984,M,1,Gold,Carlos Lopes,POR,7761.0,NaN
1027,Marathon,1984,M,2,Silver,John Treacy,IRL,7796.0,NaN
1028,Marathon,1984,M,3,Bronze,Charlie Spedding,GBR,7798.0,NaN
1029,Long Jump,1984,M,1,Gold,Carl Lewis,USA,NaN,8.54
1030,Long Jump,1984,M,2,Silver,Gary Honey,AUS,NaN,8.24
1031,Long Jump,1984,M,3,Bronze,Giovanni Evangelisti,ITA,NaN,8.24
1032,Triple Jump,1984,M,1,Gold,Al Joyner,USA,NaN,17.26
1033,Triple Jump,1984,M,2,Silver,Mike Conley,USA,NaN,17.18
1034,Triple Jump,1984,M,3,Bronze,Keith Connor,GBR,NaN,16.87
1035,Shot Put,1984,M,1,Gold,Alessandro Andrei,ITA,NaN,21.26
1036,Shot Put,1984,M,2,Silver,Mike Carter,USA,NaN,21.09
1037,Shot Put,1984,M,3,Bronze,Dave Laut,USA,NaN,20.97
1038,Discus Throw,1984,M,1,Gold,Rolf Danneberg,FRG,NaN,66.60
1039,Discus Throw,1984,M,2,Silver,Mac Wilkins,USA,NaN,66.30
1040,Discus Throw,1984,M,3,Bronze,John Powell,USA,NaN,65.46
1041,Hammer Throw,1984,M,1,Gold,Juha Tiainen,FIN,NaN,78.08
1042,Hammer Throw,1984,M,2,Silver,Karl-Hans Riehm,FRG,NaN,77.98
1043,Hammer Throw,1984,M,3,Bronze,Klaus Ploghaus,FRG,NaN,76.68
1044,Javelin Throw,1984,M,1,Gold,Arto HÃ¤rkÃ¶nen,FIN,NaN,86.76
1045,Javelin Throw,1984,M,2,Silver,Dave Ottley,GBR,NaN,85.74
1046,Javelin Throw,1984,M,3,Bronze,Kenth Eldebrink,SWE,NaN,83.72
1047,100 metres,1984,F,1,Gold,Evelyn Ashford,USA,10.97,NaN
1048,100 metres,1984,F,2,Silver,Alice Brown,USA,11.13,NaN
1049,100 metres,1984,F,3,Bronze,Merlene Ottey-Page,JAM,11.16,NaN
1050,200 metres,1984,F,1,Gold,Valerie Brisco-Hooks,USA,21.81,NaN
1051,200 metres,1984,F,2,Silver,Florence Griffith,USA,22.04,NaN
1052,200 metres,1984,F,3,Bronze,Merlene Ottey-Page,JAM,22.09,NaN
1053,400 metres,1984,F,1,Gold,Valerie Brisco-Hooks,USA,48.83,NaN
1054,400 metres,1984,F,2,Silver,Chandra Cheeseborough,USA,49.05,NaN
1055,400 metres,1984,F,3,Bronze,Kathy Cook,GBR,49.43,NaN
1056,800 metres,1984,F,1,Gold,Doina Melinte,ROU,117.6,NaN
1057,800 metres,1984,F,2,Silver,Kim Gallagher,USA,118.63,NaN
1058,800 metres,1984,F,3,Bronze,FiÈa Lovin,ROU,118.83,NaN
1059,"1,500 metres",1984,F,1,Gold,Gabriella Dorio,ITA,243.25,NaN
1060,"1,500 metres",1984,F,2,Silver,Doina Melinte,ROU,243.76,NaN
1061,"1,500 metres",1984,F,3,Bronze,Maricica PuicÄ,ROU,244.15,NaN
1062,Marathon,1984,F,1,Gold,Joan Benoit,USA,8692.0,NaN
1063,Marathon,1984,F,2,Silver,Grete Waitz,NOR,8778.0,NaN
1064,Marathon,1984,F,3,Bronze,Rosa Mota,POR,8817.0,NaN
1065,Long Jump,1984,F,1,Gold,AniÈoara Stanciu-CuÈmir,ROU,NaN,6.96
1066,Long Jump,1984,F,2,Silver,Valy Ionescu,ROU,NaN,6.81
1067,Long Jump,1984,F,3,Bronze,Sue Hearnshaw,GBR,NaN,6.80
1068,Shot Put,1984,F,1,Gold,Claudia Losch,FRG,NaN,20.48
1069,Shot Put,1984,F,2,Silver,Mihaela Loghin,ROU,NaN,20.47
1070,Shot Put,1984,F,3,Bronze,Gael Martin,AUS,NaN,19.19
1071,Discus Throw,1984,F,1,Gold,Ria Stalman,NED,NaN,65.36
1072,Discus Throw,1984,F,2,Silver,Leslie Deniz,USA,NaN,64.86
1073,Discus Throw,1984,F,3,Bronze,FlorenÅ£a CrÄciunescu,ROU,NaN,63.64
1074,Javelin Throw,1984,F,1,Gold,Tessa Sanderson,GBR,NaN,69.56
1075,Javelin Throw,1984,F,2,Silver,Tiina Lillak,FIN,NaN,69.00
1076,Javelin Throw,1984,F,3,Bronze,Fatima Whitbread,GBR,NaN,67.14
1077,100 metres,1988,M,1,Gold,Carl Lewis,USA,9.92,NaN
1078,100 metres,1988,M,2,Silver,Linford Christie,GBR,9.97,NaN
1079,100 metres,1988,M,3,Bronze,Calvin Smith,USA,9.99,NaN
1080,200 metres,1988,M,1,Gold,Joe DeLoach,USA,19.75,NaN
1081,200 metres,1988,M,2,Silver,Carl Lewis,USA,19.79,NaN
1082,200 metres,1988,M,3,Bronze,RÃ³bson Caetano da Silva,BRA,20.04,NaN
1083,400 metres,1988,M,1,Gold,Steve Lewis,USA,43.87,NaN
1084,400 metres,1988,M,2,Silver,Butch Reynolds,USA,43.93,NaN
1085,400 metres,1988,M,3,Bronze,Danny Everett,USA,44.09,NaN
1086,800 metres,1988,M,1,Gold,Paul Ereng,KEN,103.45,NaN
1087,800 metres,1988,M,2,Silver,Joaquim Cruz,BRA,103.9,NaN
1088,800 metres,1988,M,3,Bronze,SaÃ¯d Aouita,MAR,104.06,NaN
1089,"1,500 metres",1988,M,1,Gold,Peter Rono,KEN,215.96,NaN
1090,"1,500 metres",1988,M,2,Silver,Peter Elliott,GBR,216.15,NaN
1091,"1,500 metres",1988,M,3,Bronze,Jens-Peter Herold,GDR,216.21,NaN
1092,"5,000 metres",1988,M,1,Gold,John Ngugi,KEN,791.7,NaN
1093,"5,000 metres",1988,M,2,Silver,Dieter Baumann,FRG,795.52,NaN
1094,"5,000 metres",1988,M,3,Bronze,HansjÃ¶rg Kunze,GDR,795.73,NaN
1095,"10,000 metres",1988,M,1,Gold,Brahim Boutayeb,MAR,1641.46,NaN
1096,"10,000 metres",1988,M,2,Silver,Salvatore Antibo,ITA,1643.55,NaN
1097,"10,000 metres",1988,M,3,Bronze,Kipkemboi Kimeli,KEN,1645.16,NaN
1098,Marathon,1988,M,1,Gold,Gelindo Bordin,ITA,7832.0,NaN
1099,Marathon,1988,M,2,Silver,Douglas Wakiihuri,KEN,7847.0,NaN
1100,Marathon,1988,M,3,Bronze,Ahmed Salah,DJI,7859.0,NaN
1101,Long Jump,1988,M,1,Gold,Carl Lewis,USA,NaN,8.72
1102,Long Jump,1988,M,2,Silver,Mike Powell,USA,NaN,8.49
1103,Long Jump,1988,M,3,Bronze,Larry Myricks,USA,NaN,8.27
1104,Triple Jump,1988,M,1,Gold,Hristo Markov,BUL,NaN,17.61
1105,Triple Jump,1988,M,2,Silver,Igor Lapshin,URS,NaN,17.52
1106,Triple Jump,1988,M,3,Bronze,Aleksandr Kovalenko,URS,NaN,17.42
1107,Shot Put,1988,M,1,Gold,Ulf Timmermann,GDR,NaN,22.47
1108,Shot Put,1988,M,2,Silver,Randy Barnes,USA,NaN,22.39
1109,Shot Put,1988,M,3,Bronze,Werner GÃ¼nthÃ¶r,SUI,NaN,21.99
1110,Discus Throw,1988,M,1,Gold,JÃ¼rgen Schult,GDR,NaN,68.82
1111,Discus Throw,1988,M,2,Silver,Romas Ubartas,URS,NaN,67.48
1112,Discus Throw,1988,M,3,Bronze,Rolf Danneberg,FRG,NaN,67.38
1113,Hammer Throw,1988,M,1,Gold,Sergey Litvinov,URS,NaN,84.80
1114,Hammer Throw,1988,M,2,Silver,Yury Sedykh,URS,NaN,83.76
1115,Hammer Throw,1988,M,3,Bronze,JÃ¼ri Tamm,URS,NaN,81.16
1116,Javelin Throw,1988,M,1,Gold,Tapio Korjus,FIN,NaN,84.28
1117,Javelin Throw,1988,M,2,Silver,Jan Å½eleznÃ½,TCH,NaN,84.12
1118,Javelin Throw,1988,M,3,Bronze,Seppo RÃ¤ty,FIN,NaN,83.26
1119,100 metres,1988,F,1,Gold,Florence Griffith Joyner,USA,10.54,NaN
1120,100 metres,1988,F,2,Silver,Evelyn Ashford,USA,10.83,NaN
1121,100 metres,1988,F,3,Bronze,Heike Drechsler,GDR,10.85,NaN
1122,200 metres,1988,F,1,Gold,Florence Griffith Joyner,USA,21.34,NaN
1123,200 metres,1988,F,2,Silver,Grace Jackson,JAM,21.72,NaN
1124,200 metres,1988,F,3,Bronze,Heike Drechsler,GDR,21.95,NaN
1125,400 metres,1988,F,1,Gold,Olga Bryzgina,URS,48.65,NaN
1126,400 metres,1988,F,2,Silver,Petra MÃ¼ller,GDR,49.45,NaN
1127,400 metres,1988,F,3,Bronze,Olga Nazarova,URS,49.9,NaN
1128,800 metres,1988,F,1,Gold,Sigrun Wodars,GDR,116.1,NaN
1129,800 metres,1988,F,2,Silver,Christine Wachtel,GDR,116.64,NaN
1130,800 metres,1988,F,3,Bronze,Kim Gallagher,USA,116.91,NaN
1131,"1,500 metres",1988,F,1,Gold,Paula Ivan,ROU,233.96,NaN
1132,"1,500 metres",1988,F,2,Silver,LaimutÄ BaikauskaitÄ,URS,240.24,NaN
1133,"1,500 metres",1988,F,3,Bronze,Tetiana Samolenko,URS,240.3,NaN
1134,"10,000 metres",1988,F,1,Gold,Olga Bondarenko,URS,1865.21,NaN
1135,"10,000 metres",1988,F,2,Silver,Liz McColgan,GBR,1868.44,NaN
1136,"10,000 metres",1988,F,3,Bronze,Yelena Zhupiyeva,URS,1879.82,NaN
1137,Marathon,1988,F,1,Gold,Rosa Mota,POR,8740.0,NaN
1138,Marathon,1988,F,2,Silver,Lisa Martin,AUS,8753.0,NaN
1139,Marathon,1988,F,3,Bronze,Katrin DÃ¶rre,GDR,8781.0,NaN
1140,Long Jump,1988,F,1,Gold,Jackie Joyner-Kersee,USA,NaN,7.40
1141,Long Jump,1988,F,2,Silver,Heike Drechsler,GDR,NaN,7.22
1142,Long Jump,1988,F,3,Bronze,Halyna Chystiakova,URS,NaN,7.11
1143,Shot Put,1988,F,1,Gold,Nataliya Lisovskaya,URS,NaN,22.24
1144,Shot Put,1988,F,2,Silver,Kathrin Neimke,GDR,NaN,21.07
1145,Shot Put,1988,F,3,Bronze,Li Meisu,CHN,NaN,21.06
1146,Discus Throw,1988,F,1,Gold,Martina Hellmann,GDR,NaN,72.30
1147,Discus Throw,1988,F,2,Silver,Diana Gansky,GDR,NaN,71.88
1148,Discus Throw,1988,F,3,Bronze,Tsvetanka Hristova,BUL,NaN,69.74
1149,Javelin Throw,1988,F,1,Gold,Petra Felke,GDR,NaN,74.68
1150,Javelin Throw,1988,F,2,Silver,Fatima Whitbread,GBR,NaN,70.32
1151,Javelin Throw,1988,F,3,Bronze,Beate Koch,GDR,NaN,67.30
1152,100 metres,1992,M,1,Gold,Linford Christie,GBR,9.96,NaN
1153,100 metres,1992,M,2,Silver,Frankie Fredericks,NAM,10.02,NaN
1154,100 metres,1992,M,3,Bronze,Dennis Mitchell,USA,10.04,NaN
1155,200 metres,1992,M,1,Gold,Mike Marsh,USA,20.01,NaN
1156,200 metres,1992,M,2,Silver,Frankie Fredericks,NAM,20.13,NaN
1157,200 metres,1992,M,3,Bronze,Michael Bates,USA,20.38,NaN
1158,400 metres,1992,M,1,Gold,Quincy Watts,USA,43.5,NaN
1159,400 metres,1992,M,2,Silver,Steve Lewis,USA,44.21,NaN
1160,400 metres,1992,M,3,Bronze,Samson Kitur,KEN,44.24,NaN
1161,800 metres,1992,M,1,Gold,William Tanui,KEN,103.66,NaN
1162,800 metres,1992,M,2,Silver,Nixon Kiprotich,KEN,103.7,NaN
1163,800 metres,1992,M,3,Bronze,Johnny Gray,USA,103.97,NaN
1164,"1,500 metres",1992,M,1,Gold,FermÃ­n Cacho,ESP,220.12,NaN
1165,"1,500 metres",1992,M,2,Silver,Rachid El-Basir,MAR,220.62,NaN
1166,"1,500 metres",1992,M,3,Bronze,Mohamed Suleiman,QAT,220.69,NaN
1167,"5,000 metres",1992,M,1,Gold,Dieter Baumann,GER,792.52,NaN
1168,"5,000 metres",1992,M,2,Silver,Paul Bitok,KEN,792.71,NaN
1169,"5,000 metres",1992,M,3,Bronze,Fita Bayissa,ETH,793.03,NaN
1170,"10,000 metres",1992,M,1,Gold,Khalid Skah,MAR,1666.7,NaN
1171,"10,000 metres",1992,M,2,Silver,Richard Chelimo,KEN,1667.72,NaN
1172,"10,000 metres",1992,M,3,Bronze,Addis Abebe,ETH,1680.07,NaN
1173,Marathon,1992,M,1,Gold,Hwang Yeong-Jo,KOR,8003.0,NaN
1174,Marathon,1992,M,2,Silver,Koichi Morishita,JPN,8025.0,NaN
1175,Marathon,1992,M,3,Bronze,Stephan Freigang,GER,8040.0,NaN
1176,Long Jump,1992,M,1,Gold,Carl Lewis,USA,NaN,8.67
1177,Long Jump,1992,M,2,Silver,Mike Powell,USA,NaN,8.64
1178,Long Jump,1992,M,3,Bronze,Joe Greene,USA,NaN,8.34
1179,Triple Jump,1992,M,1,Gold,Mike Conley,USA,NaN,18.17
1180,Triple Jump,1992,M,2,Silver,Charlie Simpkins,USA,NaN,17.60
1181,Triple Jump,1992,M,3,Bronze,Frank Rutherford,BAH,NaN,17.36
1182,Shot Put,1992,M,1,Gold,Mike Stulce,USA,NaN,21.70
1183,Shot Put,1992,M,2,Silver,Jim Doehring,USA,NaN,20.96
1184,Shot Put,1992,M,3,Bronze,Vyacheslav Lykho,EUN,NaN,20.94
1185,Discus Throw,1992,M,1,Gold,Romas Ubartas,LTU,NaN,65.12
1186,Discus Throw,1992,M,2,Silver,JÃ¼rgen Schult,GER,NaN,64.94
1187,Discus Throw,1992,M,3,Bronze,Roberto Moya,CUB,NaN,64.12
1188,Hammer Throw,1992,M,1,Gold,Andrey Abduvaliyev,EUN,NaN,82.54
1189,Hammer Throw,1992,M,2,Silver,Ihar Astapkovich,EUN,NaN,81.96
1190,Hammer Throw,1992,M,3,Bronze,Igor Nikulin,EUN,NaN,81.38
1191,Javelin Throw,1992,M,1,Gold,Jan Å½eleznÃ½,TCH,NaN,89.66
1192,Javelin Throw,1992,M,2,Silver,Seppo RÃ¤ty,FIN,NaN,86.60
1193,Javelin Throw,1992,M,3,Bronze,Steve Backley,GBR,NaN,83.38
1194,100 metres,1992,F,1,Gold,Gail Devers,USA,10.82,NaN
1195,100 metres,1992,F,2,Silver,Juliet Cuthbert,JAM,10.83,NaN
1196,100 metres,1992,F,3,Bronze,Irina Privalova,EUN,10.84,NaN
1197,200 metres,1992,F,1,Gold,Gwen Torrence,USA,21.81,NaN
1198,200 metres,1992,F,2,Silver,Juliet Cuthbert,JAM,22.02,NaN
1199,200 metres,1992,F,3,Bronze,Merlene Ottey,JAM,22.09,NaN
1200,400 metres,1992,F,1,Gold,Marie-JosÃ© PÃ©rec,FRA,48.83,NaN
1201,400 metres,1992,F,2,Silver,Olga Bryzgina,EUN,49.05,NaN
1202,400 metres,1992,F,3,Bronze,Ximena Restrepo,COL,49.64,NaN
1203,800 metres,1992,F,1,Gold,Ellen van Langen,NED,115.53999999999999,NaN
1204,800 metres,1992,F,2,Silver,Liliya Nurutdinova,EUN,115.99000000000001,NaN
1205,800 metres,1992,F,3,Bronze,Ana Fidelia QuirÃ³s,CUB,116.8,NaN
1206,"1,500 metres",1992,F,1,Gold,Hassiba Boulmerka,ALG,235.3,NaN
1207,"1,500 metres",1992,F,2,Silver,Lyudmila Rogachova,EUN,236.91,NaN
1208,"1,500 metres",1992,F,3,Bronze,Qu Yunxia,CHN,237.07999999999998,NaN
1209,"10,000 metres",1992,F,1,Gold,Derartu Tulu,ETH,1866.02,NaN
1210,"10,000 metres",1992,F,2,Silver,Elana Meyer,RSA,1871.75,NaN
1211,"10,000 metres",1992,F,3,Bronze,Lynn Jennings,USA,1879.89,NaN
1212,Marathon,1992,F,1,Gold,Valentina Yegorova,EUN,9161.0,NaN
1213,Marathon,1992,F,2,Silver,Yuko Arimori,JPN,9169.0,NaN
1214,Marathon,1992,F,3,Bronze,Lorraine Moller,NZL,9239.0,NaN
1215,Long Jump,1992,F,1,Gold,Heike Drechsler,GER,NaN,7.14
1216,Long Jump,1992,F,2,Silver,Inesa Kravets,EUN,NaN,7.12
1217,Long Jump,1992,F,3,Bronze,Jackie Joyner-Kersee,USA,NaN,7.07
1218,Shot Put,1992,F,1,Gold,Svetlana Krivelyova,EUN,NaN,21.06
1219,Shot Put,1992,F,2,Silver,Huang Zhihong,CHN,NaN,20.47
1220,Shot Put,1992,F,3,Bronze,Kathrin Neimke,GER,NaN,19.78
1221,Discus Throw,1992,F,1,Gold,Maritza MartÃ©n,CUB,NaN,70.06
1222,Discus Throw,1992,F,2,Silver,Tsvetanka Hristova,BUL,NaN,67.78
1223,Discus Throw,1992,F,3,Bronze,Daniela Costian,AUS,NaN,66.24
1224,Javelin Throw,1992,F,1,Gold,Silke Renk,GER,NaN,68.34
1225,Javelin Throw,1992,F,2,Silver,Natallia Shykalenka,EUN,NaN,68.26
1226,Javelin Throw,1992,F,3,Bronze,Karen Forkel,GER,NaN,66.86
1227,100 metres,1996,M,1,Gold,Donovan Bailey,CAN,9.84,NaN
1228,100 metres,1996,M,2,Silver,Frankie Fredericks,NAM,9.89,NaN
1229,100 metres,1996,M,3,Bronze,Ato Boldon,TTO,9.9,NaN
1230,200 metres,1996,M,1,Gold,Michael Johnson,USA,19.32,NaN
1231,200 metres,1996,M,2,Silver,Frankie Fredericks,NAM,19.68,NaN
1232,200 metres,1996,M,3,Bronze,Ato Boldon,TTO,19.8,NaN
1233,400 metres,1996,M,1,Gold,Michael Johnson,USA,43.49,NaN
1234,400 metres,1996,M,2,Silver,Roger Black,GBR,44.41,NaN
1235,400 metres,1996,M,3,Bronze,Davis Kamoga,UGA,44.53,NaN
1236,800 metres,1996,M,1,Gold,VebjÃ¸rn Rodal,NOR,102.58,NaN
1237,800 metres,1996,M,2,Silver,HezekiÃ©l Sepeng,RSA,102.74000000000001,NaN
1238,800 metres,1996,M,3,Bronze,Fred Onyancha,KEN,102.78999999999999,NaN
1239,"1,500 metres",1996,M,1,Gold,Noureddine Morceli,ALG,215.78,NaN
1240,"1,500 metres",1996,M,2,Silver,FermÃ­n Cacho,ESP,216.4,NaN
1241,"1,500 metres",1996,M,3,Bronze,Stephen Kipkorir,KEN,216.72,NaN
1242,"5,000 metres",1996,M,1,Gold,VÃ©nuste Niyongabo,BDI,787.96,NaN
1243,"5,000 metres",1996,M,2,Silver,Paul Bitok,KEN,788.16,NaN
1244,"5,000 metres",1996,M,3,Bronze,Khalid Boulami,MAR,788.37,NaN
1245,"10,000 metres",1996,M,1,Gold,Haile Gebrselassie,ETH,1627.34,NaN
1246,"10,000 metres",1996,M,2,Silver,Paul Tergat,KEN,1628.17,NaN
1247,"10,000 metres",1996,M,3,Bronze,Salah Hissou,MAR,1644.67,NaN
1248,Marathon,1996,M,1,Gold,Josia Thugwane,RSA,7956.0,NaN
1249,Marathon,1996,M,2,Silver,Lee Bong-Ju,KOR,7959.0,NaN
1250,Marathon,1996,M,3,Bronze,Eric Wainaina,KEN,7964.0,NaN
1251,Long Jump,1996,M,1,Gold,Carl Lewis,USA,NaN,8.50
1252,Long Jump,1996,M,2,Silver,James Beckford,JAM,NaN,8.29
1253,Long Jump,1996,M,3,Bronze,Joe Greene,USA,NaN,8.24
1254,Triple Jump,1996,M,1,Gold,Kenny Harrison,USA,NaN,18.09
1255,Triple Jump,1996,M,2,Silver,Jonathan Edwards,GBR,NaN,17.88
1256,Triple Jump,1996,M,3,Bronze,Yoelbi Quesada,CUB,NaN,17.44
1257,Shot Put,1996,M,1,Gold,Randy Barnes,USA,NaN,21.62
1258,Shot Put,1996,M,2,Silver,John Godina,USA,NaN,20.79
1259,Shot Put,1996,M,3,Bronze,Oleksandr Bahach,UKR,NaN,20.75
1260,Discus Throw,1996,M,1,Gold,Lars Riedel,GER,NaN,69.40
1261,Discus Throw,1996,M,2,Silver,Uladzimir Dubroushchyk,BLR,NaN,66.60
1262,Discus Throw,1996,M,3,Bronze,Vasil Kapiukh,BLR,NaN,65.80
1263,Hammer Throw,1996,M,1,Gold,BalÃ¡zs Kiss,HUN,NaN,81.24
1264,Hammer Throw,1996,M,2,Silver,Lance Deal,USA,NaN,81.12
1265,Hammer Throw,1996,M,3,Bronze,Oleksandr Krykun,UKR,NaN,80.02
1266,Javelin Throw,1996,M,1,Gold,Jan Å½eleznÃ½,CZE,NaN,88.16
1267,Javelin Throw,1996,M,2,Silver,Steve Backley,GBR,NaN,87.44
1268,Javelin Throw,1996,M,3,Bronze,Seppo RÃ¤ty,FIN,NaN,86.98
1269,100 metres,1996,F,1,Gold,Gail Devers,USA,10.94,NaN
1270,100 metres,1996,F,2,Silver,Merlene Ottey,JAM,10.94,NaN
1271,100 metres,1996,F,3,Bronze,Gwen Torrence,USA,10.96,NaN
1272,200 metres,1996,F,1,Gold,Marie-JosÃ© PÃ©rec,FRA,22.12,NaN
1273,200 metres,1996,F,2,Silver,Merlene Ottey,JAM,22.24,NaN
1274,200 metres,1996,F,3,Bronze,Mary Onyali,NGR,22.38,NaN
1275,400 metres,1996,F,1,Gold,Marie-JosÃ© PÃ©rec,FRA,48.25,NaN
1276,400 metres,1996,F,2,Silver,Cathy Freeman,AUS,48.63,NaN
1277,400 metres,1996,F,3,Bronze,Falilat Ogunkoya,NGR,49.1,NaN
1278,800 metres,1996,F,1,Gold,Svetlana Masterkova,RUS,117.72999999999999,NaN
1279,800 metres,1996,F,2,Silver,Ana Fidelia QuirÃ³s,CUB,118.11,NaN
1280,800 metres,1996,F,3,Bronze,Maria Mutola,MOZ,118.71000000000001,NaN
1281,"1,500 metres",1996,F,1,Gold,Svetlana Masterkova,RUS,240.83,NaN
1282,"1,500 metres",1996,F,2,Silver,Gabriela Szabo,ROU,241.54,NaN
1283,"1,500 metres",1996,F,3,Bronze,Theresia Kiesl,AUT,243.02,NaN
1284,"5,000 metres",1996,F,1,Gold,Wang Junxia,CHN,899.88,NaN
1285,"5,000 metres",1996,F,2,Silver,Pauline Konga,KEN,903.49,NaN
1286,"5,000 metres",1996,F,3,Bronze,Roberta Brunet,ITA,907.52,NaN
1287,"10,000 metres",1996,F,1,Gold,Fernanda Ribeiro,POR,1861.63,NaN
1288,"10,000 metres",1996,F,2,Silver,Wang Junxia,CHN,1862.58,NaN
1289,"10,000 metres",1996,F,3,Bronze,Gete Wami,ETH,1866.65,NaN
1290,Marathon,1996,F,1,Gold,Fatuma Roba,ETH,8765.0,NaN
1291,Marathon,1996,F,2,Silver,Valentina Yegorova,RUS,8885.0,NaN
1292,Marathon,1996,F,3,Bronze,Yuko Arimori,JPN,8919.0,NaN
1293,Long Jump,1996,F,1,Gold,Chioma Ajunwa,NGR,NaN,7.12
1294,Long Jump,1996,F,2,Silver,Fiona May,ITA,NaN,7.02
1295,Long Jump,1996,F,3,Bronze,Jackie Joyner-Kersee,USA,NaN,7.00
1296,Triple Jump,1996,F,1,Gold,Inesa Kravets,UKR,NaN,15.33
1297,Triple Jump,1996,F,2,Silver,Inna Lasovskaya,RUS,NaN,14.98
1298,Triple Jump,1996,F,3,Bronze,Å Ã¡rka KaÅ¡pÃ¡rkovÃ¡,CZE,NaN,14.98
1299,Shot Put,1996,F,1,Gold,Astrid Kumbernuss,GER,NaN,20.56
1300,Shot Put,1996,F,2,Silver,Sui Xinmei,CHN,NaN,19.88
1301,Shot Put,1996,F,3,Bronze,Irina Khudoroshkina,RUS,NaN,19.35
1302,Discus Throw,1996,F,1,Gold,Ilke Wyludda,GER,NaN,69.66
1303,Discus Throw,1996,F,2,Silver,Nataliya Sadova,RUS,NaN,66.48
1304,Discus Throw,1996,F,3,Bronze,Elina Zverava,BLR,NaN,65.64
1305,Javelin Throw,1996,F,1,Gold,Heli Rantanen,FIN,NaN,67.94
1306,Javelin Throw,1996,F,2,Silver,Louise McPaul,AUS,NaN,65.54
1307,Javelin Throw,1996,F,3,Bronze,Trine Hattestad,NOR,NaN,64.98
1308,100 metres,2000,M,1,Gold,Maurice Greene,USA,9.87,NaN
1309,100 metres,2000,M,2,Silver,Ato Boldon,TTO,9.99,NaN
1310,100 metres,2000,M,3,Bronze,Obadele Thompson,BAR,10.04,NaN
1311,200 metres,2000,M,1,Gold,Kostas Kenteris,GRE,20.09,NaN
1312,200 metres,2000,M,2,Silver,Darren Campbell,GBR,20.14,NaN
1313,200 metres,2000,M,3,Bronze,Ato Boldon,TTO,20.2,NaN
1314,400 metres,2000,M,1,Gold,Michael Johnson,USA,43.84,NaN
1315,400 metres,2000,M,2,Silver,Alvin Harrison,USA,44.4,NaN
1316,400 metres,2000,M,3,Bronze,Greg Haughton,JAM,44.7,NaN
1317,800 metres,2000,M,1,Gold,Nils Schumann,GER,105.08,NaN
1318,800 metres,2000,M,2,Silver,Wilson Kipketer,DEN,105.14,NaN
1319,800 metres,2000,M,3,Bronze,Djabir SaÃ¯d-Guerni,ALG,105.16,NaN
1320,"1,500 metres",2000,M,1,Gold,Noah Ngeny,KEN,212.07,NaN
1321,"1,500 metres",2000,M,2,Silver,Hicham El Guerrouj,MAR,212.32,NaN
1322,"1,500 metres",2000,M,3,Bronze,Bernard Lagat,KEN,212.44,NaN
1323,"5,000 metres",2000,M,1,Gold,Million Wolde,ETH,815.49,NaN
1324,"5,000 metres",2000,M,2,Silver,Ali SaÃ¯di-Sief,ALG,816.2,NaN
1325,"5,000 metres",2000,M,3,Bronze,Brahim Lahlafi,MAR,816.47,NaN
1326,"10,000 metres",2000,M,1,Gold,Haile Gebrselassie,ETH,1638.2,NaN
1327,"10,000 metres",2000,M,2,Silver,Paul Tergat,KEN,1638.29,NaN
1328,"10,000 metres",2000,M,3,Bronze,Assefa Mezgebu,ETH,1639.75,NaN
1329,Marathon,2000,M,1,Gold,Gezahgne Abera,ETH,7811.0,NaN
1330,Marathon,2000,M,2,Silver,Eric Wainaina,KEN,7831.0,NaN
1331,Marathon,2000,M,3,Bronze,Tesfaye Tola,ETH,7870.0,NaN
1332,Long Jump,2000,M,1,Gold,IvÃ¡n Pedroso,CUB,NaN,8.55
1333,Long Jump,2000,M,2,Silver,Jai Taurima,AUS,NaN,8.49
1334,Long Jump,2000,M,3,Bronze,Roman Shchurenko,UKR,NaN,8.31
1335,Triple Jump,2000,M,1,Gold,Jonathan Edwards,GBR,NaN,17.71
1336,Triple Jump,2000,M,2,Silver,Yoel GarcÃ­a,CUB,NaN,17.47
1337,Triple Jump,2000,M,3,Bronze,Denis Kapustin,RUS,NaN,17.46
1338,Shot Put,2000,M,1,Gold,Arsi Harju,FIN,NaN,21.29
1339,Shot Put,2000,M,2,Silver,Adam Nelson,USA,NaN,21.21
1340,Shot Put,2000,M,3,Bronze,John Godina,USA,NaN,21.20
1341,Discus Throw,2000,M,1,Gold,Virgilijus Alekna,LTU,NaN,69.30
1342,Discus Throw,2000,M,2,Silver,Lars Riedel,GER,NaN,68.50
1343,Discus Throw,2000,M,3,Bronze,Frantz Kruger,RSA,NaN,68.19
1344,Hammer Throw,2000,M,1,Gold,Szymon ZiÃ³Åkowski,POL,NaN,80.02
