,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
472,Long Jump,1948,F,3,Bronze,Ann-Britt Leyman,SWE,NaN,5.575
473,Shot Put,1948,F,1,Gold,Micheline Ostermeyer,FRA,NaN,13.750
474,Shot Put,1948,F,2,Silver,Amelia Piccinini,ITA,NaN,13.095
475,Shot Put,1948,F,3,Bronze,Ine SchÃ¤ffer,AUT,NaN,13.080
476,Discus Throw,1948,F,1,Gold,Micheline Ostermeyer,FRA,NaN,41.92
477,Discus Throw,1948,F,2,Silver,Edera Cordiale-Gentile,ITA,NaN,41.17
478,Discus Throw,1948,F,3,Bronze,Jacqueline MazÃ©as,FRA,NaN,40.47
479,Javelin Throw,1948,F,1,Gold,Herma Bauma,AUT,NaN,45.57
480,Javelin Throw,1948,F,2,Silver,Kaisa Parviainen,FIN,NaN,43.79
481,Javelin Throw,1948,F,3,Bronze,Lily Carlstedt,DEN,NaN,42.08
482,100 metres,1952,M,1,Gold,Lindy Remigino,USA,10.4,NaN
483,100 metres,1952,M,2,Silver,Herb McKenley,JAM,10.4,NaN
484,100 metres,1952,M,3,Bronze,McDonald Bailey,GBR,10.4,NaN
485,200 metres,1952,M,1,Gold,Andy Stanfield,USA,20.7,NaN
486,200 metres,1952,M,2,Silver,Thane Baker,USA,20.8,NaN
487,200 metres,1952,M,3,Bronze,Jimmy Gathers,USA,20.8,NaN
488,400 metres,1952,M,1,Gold,George Rhoden,JAM,45.9,NaN
489,400 metres,1952,M,2,Silver,Herb McKenley,JAM,45.9,NaN
490,400 metres,1952,M,3,Bronze,Ollie Matson,USA,46.8,NaN
491,800 metres,1952,M,1,Gold,Mal Whitfield,USA,109.2,NaN
492,800 metres,1952,M,2,Silver,Arthur Wint,JAM,109.4,NaN
493,800 metres,1952,M,3,Bronze,Heinz Ulzheimer,GER,109.7,NaN
494,"1,500 metres",1952,M,1,Gold,Josy Barthel,LUX,225.2,NaN
495,"1,500 metres",1952,M,2,Silver,Bob McMillen,USA,225.2,NaN
496,"1,500 metres",1952,M,3,Bronze,Werner Lueg,GER,225.4,NaN
497,"5,000 metres",1952,M,1,Gold,Emil ZÃ¡topek,TCH,846.6,NaN
498,"5,000 metres",1952,M,2,Silver,Alain Mimoun,FRA,847.4,NaN
499,"5,000 metres",1952,M,3,Bronze,Herbert Schade,GER,848.6,NaN
500,"10,000 metres",1952,M,1,Gold,Emil ZÃ¡topek,TCH,NaN,NaN
501,"10,000 metres",1952,M,2,Silver,Alain Mimoun,FRA,NaN,NaN
502,"10,000 metres",1952,M,3,Bronze,Aleksandr Anufriyev,URS,NaN,NaN
503,Marathon,1952,M,1,Gold,Emil ZÃ¡topek,TCH,8583.2,NaN
504,Marathon,1952,M,2,Silver,Reinaldo Gorno,ARG,8735.0,NaN
505,Marathon,1952,M,3,Bronze,Gustaf Jansson,SWE,8767.0,NaN
506,Long Jump,1952,M,1,Gold,Jerome Biffle,USA,NaN,7.57
507,Long Jump,1952,M,2,Silver,Meredith Gourdine,USA,NaN,7.53
508,Long Jump,1952,M,3,Bronze,ÃdÃ¶n FÃ¶ldessy,HUN,NaN,7.30
509,Triple Jump,1952,M,1,Gold,Adhemar da Silva,BRA,NaN,16.22
510,Triple Jump,1952,M,2,Silver,Leonid Shcherbakov,URS,NaN,15.98
511,Triple Jump,1952,M,3,Bronze,Asnoldo Devonish,VEN,NaN,15.52
512,Shot Put,1952,M,1,Gold,Parry O'Brien,USA,NaN,17.41
513,Shot Put,1952,M,2,Silver,Darrow Hooper,USA,NaN,17.39
514,Shot Put,1952,M,3,Bronze,Jim Fuchs,USA,NaN,17.06
515,Discus Throw,1952,M,1,Gold,Sim Iness,USA,NaN,55.03
516,Discus Throw,1952,M,2,Silver,Adolfo Consolini,ITA,NaN,53.78
517,Discus Throw,1952,M,3,Bronze,Jim Dillion,USA,NaN,53.28
518,Hammer Throw,1952,M,1,Gold,JÃ³zsef CsermÃ¡k,HUN,NaN,60.34
519,Hammer Throw,1952,M,2,Silver,Karl Storch,GER,NaN,58.86
520,Hammer Throw,1952,M,3,Bronze,Imre NÃ©meth,HUN,NaN,57.74
521,Javelin Throw,1952,M,1,Gold,Cy Young,USA,NaN,73.78
522,Javelin Throw,1952,M,2,Silver,Bill Miller,USA,NaN,72.46
523,Javelin Throw,1952,M,3,Bronze,Toivo HyytiÃ¤inen,FIN,NaN,71.89
524,100 metres,1952,F,1,Gold,Marjorie Jackson,AUS,11.5,NaN
525,100 metres,1952,F,2,Silver,Daphne HasenjÃ¤ger,RSA,11.8,NaN
526,100 metres,1952,F,3,Bronze,Shirley Strickland de la Hunty,AUS,11.9,NaN
527,200 metres,1952,F,1,Gold,Marjorie Jackson,AUS,23.7,NaN
