Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
3,Joe McCluskey,USA,10:46.2 (3),Bronze,"3,000 metres Steeplechase",M,1932,,,,
1,,GBR,,Gold,50 kilometres Walk,M,1932,4-50:10,,,
2,,LAT,,Silver,50 kilometres Walk,M,1932,4-57:20,,,
3,,ITA,,Bronze,50 kilometres Walk,M,1932,4-59:06,,,
1,Duncan McNaughton,CAN,,Gold,High Jump,M,1932,,1.97,,
2,Bob Van Osdel,USA,,Silver,High Jump,M,1932,,1.97,,
3,Simeon Toribio,PHI,,Bronze,High Jump,M,1932,,1.97,,
1,Bill Miller,USA,,Gold,Pole Vault,M,1932,,4.315,,
2,Shuhei Nishida,JPN,,Silver,Pole Vault,M,1932,,4.300,,
3,George Jefferson,USA,,Bronze,Pole Vault,M,1932,,4.200,,
1,Ed Gordon,USA,,Gold,Long Jump,M,1932,,,7.64,
2,Lambert Redd,USA,,Silver,Long Jump,M,1932,,,7.60,
3,Chuhei Nanbu,JPN,,Bronze,Long Jump,M,1932,,,7.45,
1,Chuhei Nanbu,JPN,,Gold,Triple Jump,M,1932,,,15.72,
2,Eric Svensson,SWE,,Silver,Triple Jump,M,1932,,,15.32,
3,Kenkichi Oshima,JPN,,Bronze,Triple Jump,M,1932,,,15.12,
1,Leo Sexton,USA,,Gold,Shot Put,M,1932,,,16.005,
2,Harlow Rothert,USA,,Silver,Shot Put,M,1932,,,15.675,
3,FrantiÅ¡ek Douda,TCH,,Bronze,Shot Put,M,1932,,,15.610,
1,John Anderson,USA,,Gold,Discus Throw,M,1932,,,49.49,
2,Henri LaBorde,USA,,Silver,Discus Throw,M,1932,,,48.47,
3,Paul Winter,FRA,,Bronze,Discus Throw,M,1932,,,47.85,
1,Pat O'Callaghan,IRL,,Gold,Hammer Throw,M,1932,,,53.92,
2,Ville PÃ¶rhÃ¶lÃ¤,FIN,,Silver,Hammer Throw,M,1932,,,52.27,
3,Pete Zaremba,USA,,Bronze,Hammer Throw,M,1932,,,50.33,
1,Matti JÃ¤rvinen,FIN,,Gold,Javelin Throw,M,1932,,,â,
2,Matti Sippala,FIN,,Silver,Javelin Throw,M,1932,,,â,
3,Eino PenttilÃ¤,FIN,,Bronze,Javelin Throw,M,1932,,,â,
1,StanisÅawa Walasiewicz,POL,11.9 (1),Gold,100 metres,F,1932,,,,
2,Hilda Strike,CAN,11.9 (2),Silver,100 metres,F,1932,,,,
3,Billie von Bremen,USA,12.0 (3),Bronze,100 metres,F,1932,,,,
1,Babe Didrikson,USA,11.7 (1),Gold,80 metres Hurdles,F,1932,,,,
2,Evelyne Hall,USA,11.7 (2),Silver,80 metres Hurdles,F,1932,,,,
3,Marjorie Clark,RSA,11.8 (3),Bronze,80 metres Hurdles,F,1932,,,,
1,Jean Shiley,USA,,Gold,High Jump,F,1932,,1.65,,
2,Babe Didrikson,USA,,Silver,High Jump,F,1932,,1.65,,
3,Eva Dawes,CAN,,Bronze,High Jump,F,1932,,1.6,,
1,Lillian Copeland,USA,,Gold,Discus Throw,F,1932,,,40.58,
2,Ruth Osburn,USA,,Silver,Discus Throw,F,1932,,,40.12,
3,Jadwiga Wajs,POL,,Bronze,Discus Throw,F,1932,,,38.74,
1,Babe Didrikson,USA,,Gold,Javelin Throw,F,1932,,,43.69,
2,Ellen BraumÃ¼ller,GER,,Silver,Javelin Throw,F,1932,,,43.50,
3,Tilly Fleischer,GER,,Bronze,Javelin Throw,F,1932,,,43.01,
1,Jesse Owens,USA,10.3w (1),Gold,100 metres,M,1936,,,,
2,Ralph Metcalfe,USA,10.4w (2),Silver,100 metres,M,1936,,,,
3,Tinus Osendarp,NED,10.5w (3),Bronze,100 metres,M,1936,,,,
1,Jesse Owens,USA,20.7 (1),Gold,200 metres,M,1936,,,,
2,Mack Robinson,USA,21.1 (2),Silver,200 metres,M,1936,,,,
3,Tinus Osendarp,NED,21.3 (3),Bronze,200 metres,M,1936,,,,
1,Archie Williams,USA,46.5 (1),Gold,400 metres,M,1936,,,,
2,Godfrey Brown,GBR,46.7 (2),Silver,400 metres,M,1936,,,,
3,Jimmy Lu Valle,USA,46.8 (3),Bronze,400 metres,M,1936,,,,
1,John Woodruff,USA,1:52.9 (1),Gold,800 metres,M,1936,,,,
2,Mario Lanzi,ITA,1:53.3 (2),Silver,800 metres,M,1936,,,,
3,Phil Edwards,CAN,1:53.6 (3),Bronze,800 metres,M,1936,,,,
1,Jack Lovelock,NZL,3:47.8 (1),Gold,"1,500 metres",M,1936,,,,
2,Glenn Cunningham,USA,3:48.4 (2),Silver,"1,500 metres",M,1936,,,,
3,Luigi Beccali,ITA,3:49.2 (3),Bronze,"1,500 metres",M,1936,,,,
1,Gunnar HÃ¶ckert,FIN,14:22.2 (1),Gold,"5,000 metres",M,1936,,,,
2,Lauri Lehtinen,FIN,14:25.8 (2),Silver,"5,000 metres",M,1936,,,,
3,Henry Jonsson,SWE,14:29.0 (3),Bronze,"5,000 metres",M,1936,,,,
1,Ilmari Salminen,FIN,,Gold,"10,000 metres",M,1936,,,,30:15.4
2,Arvo Askola,FIN,,Silver,"10,000 metres",M,1936,,,,30:15.6
3,Volmari Iso-Hollo,FIN,,Bronze,"10,000 metres",M,1936,,,,30:20.2
1,Son Gi-Jeong,JPN,,Gold,Marathon,M,1936,2-29:19.2,,,
2,Ernie Harper,GBR,,Silver,Marathon,M,1936,2-31:23.2,,,
3,Nam Sung-Yong,JPN,,Bronze,Marathon,M,1936,2-31:42.0,,,
1,Forrest Towns,USA,14.2 (1),Gold,110 metres Hurdles,M,1936,,,,
2,Don Finlay,GBR,14.4 (2),Silver,110 metres Hurdles,M,1936,,,,
3,Fritz Pollard,USA,14.4 (3),Bronze,110 metres Hurdles,M,1936,,,,
1,Glenn Hardin,USA,52.4 (1),Gold,400 metres Hurdles,M,1936,,,,
2,Johnny Loaring,CAN,52.7 (2),Silver,400 metres Hurdles,M,1936,,,,
3,Miguel White,PHI,52.8 (3),Bronze,400 metres Hurdles,M,1936,,,,
1,Volmari Iso-Hollo,FIN,9:03.8 (1),Gold,"3,000 metres Steeplechase",M,1936,,,,
2,Kalle Tuominen,FIN,9:06.8 (2),Silver,"3,000 metres Steeplechase",M,1936,,,,
3,Alfred Dompert,GER,9:07.2 (3),Bronze,"3,000 metres Steeplechase",M,1936,,,,
1,,GBR,,Gold,50 kilometres Walk,M,1936,4-30:41.4,,,
2,,SUI,,Silver,50 kilometres Walk,M,1936,4-32:09.2,,,
3,,LAT,,Bronze,50 kilometres Walk,M,1936,4-32:42.2,,,
1,Corny Johnson,USA,,Gold,High Jump,M,1936,,,,
2,Dave Albritton,USA,,Silver,High Jump,M,1936,,,,
3,Delos Thurber,USA,,Bronze,High Jump,M,1936,,,,
1,Earle Meadows,USA,,Gold,Pole Vault,M,1936,,,,
2,Shuhei Nishida,JPN,,Silver,Pole Vault,M,1936,,,,
3,Sueo Oe,JPN,,Bronze,Pole Vault,M,1936,,,,
1,Jesse Owens,USA,8.06w (1),Gold,Long Jump,M,1936,,,,
2,Luz Long,GER,7.87w (2),Silver,Long Jump,M,1936,,,,
