Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
2,Irena Kirszenstein,POL,23.1 (2),Silver,200 metres,F,1964,,,,
3,Marilyn Black,AUS,23.1 (3),Bronze,200 metres,F,1964,,,,
1,Betty Cuthbert,AUS,52.0 (1),Gold,400 metres,F,1964,,,,
2,Ann Packer,GBR,52.2 (2),Silver,400 metres,F,1964,,,,
3,Judy Amoore,AUS,53.4 (3),Bronze,400 metres,F,1964,,,,
1,Ann Packer,GBR,2:01.1 (1),Gold,800 metres,F,1964,,,,
2,Maryvonne Dupureur,FRA,2:01.9 (2),Silver,800 metres,F,1964,,,,
3,Marise Chamberlain,NZL,2:02.8 (3),Bronze,800 metres,F,1964,,,,
1,Karin Balzer,GER,10.5 (1),Gold,80 metres Hurdles,F,1964,,,,
2,Teresa CiepÅy,POL,10.5 (2),Silver,80 metres Hurdles,F,1964,,,,
3,Pam Kilborn,AUS,10.5 (3),Bronze,80 metres Hurdles,F,1964,,,,
1,Iolanda BalaÈ,ROU,,Gold,High Jump,F,1964,,,,
2,Michele Mason-Brown,AUS,,Silver,High Jump,F,1964,,,,
3,Taisiya Chenchik,URS,,Bronze,High Jump,F,1964,,,,
1,Mary Rand,GBR,6.76 (1),Gold,Long Jump,F,1964,,,,
2,Irena Kirszenstein,POL,6.60 (2),Silver,Long Jump,F,1964,,,,
3,Tatyana Shchelkanova,URS,6.42 (3),Bronze,Long Jump,F,1964,,,,
1,Tamara Press,URS,18.14 (1),Gold,Shot Put,F,1964,,,,
2,Renate Garisch-Culmberger,GER,17.61 (2),Silver,Shot Put,F,1964,,,,
3,Galina Zybina,URS,17.45 (3),Bronze,Shot Put,F,1964,,,,
1,Tamara Press,URS,57.27 (1),Gold,Discus Throw,F,1964,,,,
2,Ingrid Lotz,GER,57.21 (2),Silver,Discus Throw,F,1964,,,,
3,Lia Manoliu,ROU,56.97 (3),Bronze,Discus Throw,F,1964,,,,
1,Mihaela PeneÈ,ROU,60.54 (1),Gold,Javelin Throw,F,1964,,,,
2,MÃ¡rta Antal-Rudas,HUN,58.27 (2),Silver,Javelin Throw,F,1964,,,,
3,Yelena Gorchakova,URS,57.06 (3),Bronze,Javelin Throw,F,1964,,,,
1,Jim Hines,USA,9.9 (1),Gold,100 metres,M,1968,,,,
2,Lennox Miller,JAM,10.0 (2),Silver,100 metres,M,1968,,,,
3,Charlie Greene,USA,10.0 (3),Bronze,100 metres,M,1968,,,,
1,Tommie Smith,USA,19.8 (1),Gold,200 metres,M,1968,,,,
2,Peter Norman,AUS,20.0 (2),Silver,200 metres,M,1968,,,,
3,John Carlos,USA,20.0 (3),Bronze,200 metres,M,1968,,,,
1,Lee Evans,USA,43.8 (1),Gold,400 metres,M,1968,,,,
2,Larry James,USA,43.9 (2),Silver,400 metres,M,1968,,,,
3,Ron Freeman,USA,44.4 (3),Bronze,400 metres,M,1968,,,,
1,Ralph Doubell,AUS,1:44.3 (1),Gold,800 metres,M,1968,,,,
2,Wilson Kiprugut,KEN,1:44.5 (2),Silver,800 metres,M,1968,,,,
3,Tom Farrell,USA,1:45.4 (3),Bronze,800 metres,M,1968,,,,
1,Kip Keino,KEN,3:34.9 (1),Gold,"1,500 metres",M,1968,,,,
2,Jim Ryun,USA,3:37.8 (2),Silver,"1,500 metres",M,1968,,,,
3,Bodo TÃ¼mmler,FRG,3:39.0 (3),Bronze,"1,500 metres",M,1968,,,,
1,Mohamad Gammoudi,TUN,14:05.0 (1),Gold,"5,000 metres",M,1968,,,,
2,Kip Keino,KEN,14:05.2 (2),Silver,"5,000 metres",M,1968,,,,
3,Naftali Temu,KEN,14:06.4 (3),Bronze,"5,000 metres",M,1968,,,,
1,Naftali Temu,KEN,,Gold,"10,000 metres",M,1968,,,,29:27.4
2,Mamo Wolde,ETH,,Silver,"10,000 metres",M,1968,,,,29:28.0
3,Mohamad Gammoudi,TUN,,Bronze,"10,000 metres",M,1968,,,,29:34.2
1,Mamo Wolde,ETH,,Gold,Marathon,M,1968,2-20:26.4,,,
2,Kenji Kimihara,JPN,,Silver,Marathon,M,1968,2-23:31.0,,,
3,Mike Ryan,NZL,,Bronze,Marathon,M,1968,2-23:45.0,,,
1,Willie Davenport,USA,13.3 (1),Gold,110 metres Hurdles,M,1968,,,,
2,Erv Hall,USA,13.4 (2),Silver,110 metres Hurdles,M,1968,,,,
3,Eddy Ottoz,ITA,13.4 (3),Bronze,110 metres Hurdles,M,1968,,,,
1,Dave Hemery,GBR,48.1 (1),Gold,400 metres Hurdles,M,1968,,,,
2,Gerhard Hennige,FRG,49.0 (2),Silver,400 metres Hurdles,M,1968,,,,
3,John Sherwood,GBR,49.0 (3),Bronze,400 metres Hurdles,M,1968,,,,
1,Amos Biwott,KEN,8:51.0 (1),Gold,"3,000 metres Steeplechase",M,1968,,,,
2,Benjamin Kogo,KEN,8:51.6 (2),Silver,"3,000 metres Steeplechase",M,1968,,,,
3,George Young,USA,8:51.8 (3),Bronze,"3,000 metres Steeplechase",M,1968,,,,
1,,URS,,Gold,20 kilometres Walk,M,1968,1-33:58.4,,,
2,,MEX,,Silver,20 kilometres Walk,M,1968,1-34:00.0,,,
3,,URS,,Bronze,20 kilometres Walk,M,1968,1-34:03.4,,,
1,,GDR,,Gold,50 kilometres Walk,M,1968,4-20:13.6,,,
2,,HUN,,Silver,50 kilometres Walk,M,1968,4-30:17.0,,,
3,,USA,,Bronze,50 kilometres Walk,M,1968,4-31:55.4,,,
1,Dick Fosbury,USA,,Gold,High Jump,M,1968,,,,
2,Ed Caruthers,USA,,Silver,High Jump,M,1968,,,,
3,Valentin Gavrilov,URS,,Bronze,High Jump,M,1968,,,,
1,Bob Seagren,USA,,Gold,Pole Vault,M,1968,,,,
2,Claus Schiprowski,FRG,,Silver,Pole Vault,M,1968,,,,
3,Wolfgang Nordwig,GDR,,Bronze,Pole Vault,M,1968,,,,
1,Bob Beamon,USA,8.90 (1),Gold,Long Jump,M,1968,,,,
2,Klaus Beer,GDR,8.19 (2),Silver,Long Jump,M,1968,,,,
3,Ralph Boston,USA,8.16 (3),Bronze,Long Jump,M,1968,,,,
1,Viktor Saneyev,URS,17.39 (1),Gold,Triple Jump,M,1968,,,,
2,NÃ©lson PrudÃªncio,BRA,17.27 (2),Silver,Triple Jump,M,1968,,,,
3,Giuseppe Gentile,ITA,17.22 (3),Bronze,Triple Jump,M,1968,,,,
1,Randy Matson,USA,20.54 (1),Gold,Shot Put,M,1968,,,,
2,George Woods,USA,20.12 (2),Silver,Shot Put,M,1968,,,,
3,Eduard Gushchin,URS,20.09 (3),Bronze,Shot Put,M,1968,,,,
1,Al Oerter,USA,64.78 (1),Gold,Discus Throw,M,1968,,,,
2,Lothar Milde,GDR,63.08 (2),Silver,Discus Throw,M,1968,,,,
3,LudvÃ­k DanÄk,TCH,62.92 (3),Bronze,Discus Throw,M,1968,,,,
1,Gyula ZsivÃ³tzky,HUN,73.36 (1),Gold,Hammer Throw,M,1968,,,,
2,Romuald Klim,URS,73.28 (2),Silver,Hammer Throw,M,1968,,,,
3,LÃ¡zÃ¡r LovÃ¡sz,HUN,69.78 (3),Bronze,Hammer Throw,M,1968,,,,
1,JÄnis LÅ«sis,URS,90.10 (1),Gold,Javelin Throw,M,1968,,,,
2,Jorma Kinnunen,FIN,88.58 (2),Silver,Javelin Throw,M,1968,,,,
3,Gergely KulcsÃ¡r,HUN,87.06 (3),Bronze,Javelin Throw,M,1968,,,,
1,Wyomia Tyus,USA,11.0 (1),Gold,100 metres,F,1968,,,,
2,Barbara Ferrell,USA,11.1 (2),Silver,100 metres,F,1968,,,,
3,Irena SzewiÅska,POL,11.1 (3),Bronze,100 metres,F,1968,,,,
1,Irena SzewiÅska,POL,22.5 (1),Gold,200 metres,F,1968,,,,
2,Raelene Boyle,AUS,22.7 (2),Silver,200 metres,F,1968,,,,
3,Jennifer Lamy,AUS,22.8 (3),Bronze,200 metres,F,1968,,,,
1,Colette Besson,FRA,52.0 (1),Gold,400 metres,F,1968,,,,
2,Lillian Board,GBR,52.1 (2),Silver,400 metres,F,1968,,,,
3,Nataliya Pechenkina,URS,52.2 (3),Bronze,400 metres,F,1968,,,,
1,Madeline Manning,USA,2:00.9 (1),Gold,800 metres,F,1968,,,,
2,Ileana Silai,ROU,2:02.5 (2),Silver,800 metres,F,1968,,,,
3,Mia Gommers,NED,2:02.6 (3),Bronze,800 metres,F,1968,,,,
1,Maureen Caird,AUS,10.3 (1),Gold,80 metres Hurdles,F,1968,,,,
2,Pam Kilborn,AUS,10.4 (2),Silver,80 metres Hurdles,F,1968,,,,
3,Chi Cheng,TPE,10.4 (3),Bronze,80 metres Hurdles,F,1968,,,,
1,Miloslava RezkovÃ¡,TCH,,Gold,High Jump,F,1968,,,,
2,Antonina Okorokova,URS,,Silver,High Jump,F,1968,,,,
3,Valentina Kozyr,URS,,Bronze,High Jump,F,1968,,,,
1,Viorica Viscopoleanu,ROU,6.82 (1),Gold,Long Jump,F,1968,,,,
2,Sheila Sherwood,GBR,6.68 (2),Silver,Long Jump,F,1968,,,,
3,Tatyana Talysheva,URS,6.66 (3),Bronze,Long Jump,F,1968,,,,
1,Margitta Gummel,GDR,,Gold,Shot Put,F,1968,,,19.61,
2,Marita Lange,GDR,,Silver,Shot Put,F,1968,,,18.78,
3,Nadezhda Chizhova,URS,,Bronze,Shot Put,F,1968,,,18.19,
1,Lia Manoliu,ROU,,Gold,Discus Throw,F,1968,,,58.28,
2,Liesel Westermann,FRG,,Silver,Discus Throw,F,1968,,,57.76,
3,JolÃ¡n Kleiber-Kontsek,HUN,,Bronze,Discus Throw,F,1968,,,54.90,
1,AngÃ©la NÃ©meth,HUN,,Gold,Javelin Throw,F,1968,,,60.36,
2,Mihaela PeneÈ,ROU,,Silver,Javelin Throw,F,1968,,,59.92,
3,Eva Janko,AUT,,Bronze,Javelin Throw,F,1968,,,58.04,
1,Valery Borzov,URS,10.14 (1),Gold,100 metres,M,1972,,,,
2,Robert Taylor,USA,10.24 (2),Silver,100 metres,M,1972,,,,
3,Lennox Miller,JAM,10.33 (3),Bronze,100 metres,M,1972,,,,
1,Valery Borzov,URS,20.00 (1),Gold,200 metres,M,1972,,,,
2,Larry Black,USA,20.19 (2),Silver,200 metres,M,1972,,,,
3,Pietro Mennea,ITA,20.30 (3),Bronze,200 metres,M,1972,,,,
1,Vince Matthews,USA,44.66 (1),Gold,400 metres,M,1972,,,,
2,Wayne Collett,USA,44.80 (2),Silver,400 metres,M,1972,,,,
3,Julius Sang,KEN,44.92 (3),Bronze,400 metres,M,1972,,,,
1,Dave Wottle,USA,1:45.86 (1),Gold,800 metres,M,1972,,,,
2,Yevgeny Arzhanov,URS,1:45.89 (2),Silver,800 metres,M,1972,,,,
3,Mike Boit,KEN,1:46.01 (3),Bronze,800 metres,M,1972,,,,
1,Pekka Vasala,FIN,3:36.33 (1),Gold,"1,500 metres",M,1972,,,,
2,Kip Keino,KEN,3:36.81 (2),Silver,"1,500 metres",M,1972,,,,
3,Rod Dixon,NZL,3:37.46 (3),Bronze,"1,500 metres",M,1972,,,,
1,Lasse VirÃ©n,FIN,13:26.42 (1),Gold,"5,000 metres",M,1972,,,,
2,Mohamad Gammoudi,TUN,13:27.33 (2),Silver,"5,000 metres",M,1972,,,,
3,Ian Stewart,GBR,13:27.61 (3),Bronze,"5,000 metres",M,1972,,,,
1,Lasse VirÃ©n,FIN,27:38.35 (1),Gold,"10,000 metres",M,1972,,,,
2,Miel Puttemans,BEL,27:39.58 (2),Silver,"10,000 metres",M,1972,,,,
3,Miruts Yifter,ETH,27:40.96 (3),Bronze,"10,000 metres",M,1972,,,,
1,Frank Shorter,USA,,Gold,Marathon,M,1972,2-12:19.8,,,
2,Karel Lismont,BEL,,Silver,Marathon,M,1972,2-14:31.8,,,
3,Mamo Wolde,ETH,,Bronze,Marathon,M,1972,2-15:08.4,,,
1,Rod Milburn,USA,13.24 (1),Gold,110 metres Hurdles,M,1972,,,,
2,Guy Drut,FRA,13.34 (2),Silver,110 metres Hurdles,M,1972,,,,
3,Tom Hill,USA,13.48 (3),Bronze,110 metres Hurdles,M,1972,,,,
1,John Akii-Bua,UGA,47.82 (1),Gold,400 metres Hurdles,M,1972,,,,
2,Ralph Mann,USA,48.51 (2),Silver,400 metres Hurdles,M,1972,,,,
3,Dave Hemery,GBR,48.52 (3),Bronze,400 metres Hurdles,M,1972,,,,
1,Kip Keino,KEN,8:23.64 (1),Gold,"3,000 metres Steeplechase",M,1972,,,,
2,Ben Jipcho,KEN,8:24.62 (2),Silver,"3,000 metres Steeplechase",M,1972,,,,
3,Tapio Kantanen,FIN,8:24.66 (3),Bronze,"3,000 metres Steeplechase",M,1972,,,,
1,,GDR,,Gold,20 kilometres Walk,M,1972,1-26:42.4,,,
2,,URS,,Silver,20 kilometres Walk,M,1972,1-26:55.2,,,
3,,GDR,,Bronze,20 kilometres Walk,M,1972,1-27:16.6,,,
1,,FRG,,Gold,50 kilometres Walk,M,1972,3-56:11.6,,,
2,,URS,,Silver,50 kilometres Walk,M,1972,3-58:24.0,,,
3,,USA,,Bronze,50 kilometres Walk,M,1972,4-00:46.0,,,
1,JÃ¼ri Tarmak,URS,,Gold,High Jump,M,1972,,,,
2,Stefan Junge,GDR,,Silver,High Jump,M,1972,,,,
3,Dwight Stones,USA,,Bronze,High Jump,M,1972,,,,
1,Wolfgang Nordwig,GDR,,Gold,Pole Vault,M,1972,,,,
2,Bob Seagren,USA,,Silver,Pole Vault,M,1972,,,,
3,Jan Johnson,USA,,Bronze,Pole Vault,M,1972,,,,
1,Randy Williams,USA,8.24 (1),Gold,Long Jump,M,1972,,,,
2,Hans Baumgartner,FRG,8.18 (2),Silver,Long Jump,M,1972,,,,
3,Arnie Robinson,USA,8.03 (3),Bronze,Long Jump,M,1972,,,,
1,Viktor Saneyev,URS,17.35w (1),Gold,Triple Jump,M,1972,,,,
2,JÃ¶rg Drehmel,GDR,17.31 (2),Silver,Triple Jump,M,1972,,,,
3,NÃ©lson PrudÃªncio,BRA,17.05 (3),Bronze,Triple Jump,M,1972,,,,
1,WÅadysÅaw Komar,POL,21.18 (1),Gold,Shot Put,M,1972,,,,
2,George Woods,USA,21.17 (2),Silver,Shot Put,M,1972,,,,
3,Hartmut Briesenick,GDR,21.14 (3),Bronze,Shot Put,M,1972,,,,
1,LudvÃ­k DanÄk,TCH,64.40 (1),Gold,Discus Throw,M,1972,,,,
2,Jay Silvester,USA,63.50 (2),Silver,Discus Throw,M,1972,,,,
3,Ricky Bruch,SWE,63.40 (3),Bronze,Discus Throw,M,1972,,,,
1,Anatoly Bondarchuk,URS,75.50 (1),Gold,Hammer Throw,M,1972,,,,
2,Jochen Sachse,GDR,74.96 (2),Silver,Hammer Throw,M,1972,,,,
3,Vasily Khmelevsky,URS,74.04 (3),Bronze,Hammer Throw,M,1972,,,,
1,Klaus Wolfermann,FRG,90.48 (1),Gold,Javelin Throw,M,1972,,,,
2,JÄnis LÅ«sis,URS,90.46 (2),Silver,Javelin Throw,M,1972,,,,
3,Bill Schmidt,USA,84.42 (3),Bronze,Javelin Throw,M,1972,,,,
1,Renate Stecher,GDR,11.07 (1),Gold,100 metres,F,1972,,,,
2,Raelene Boyle,AUS,11.23 (2),Silver,100 metres,F,1972,,,,
3,Silvia ChivÃ¡s,CUB,11.24 (3),Bronze,100 metres,F,1972,,,,
1,Renate Stecher,GDR,22.40 (1),Gold,200 metres,F,1972,,,,
2,Raelene Boyle,AUS,22.45 (2),Silver,200 metres,F,1972,,,,
3,Irena SzewiÅska,POL,22.74 (3),Bronze,200 metres,F,1972,,,,
1,Monika Zehrt,GDR,51.08 (1),Gold,400 metres,F,1972,,,,
2,Rita Wilden,FRG,51.21 (2),Silver,400 metres,F,1972,,,,
3,Kathy Hammond,USA,51.64 (3),Bronze,400 metres,F,1972,,,,
1,Hildegard Falck,FRG,1:58.55 (1),Gold,800 metres,F,1972,,,,
2,NijolÄ SabaitÄ,URS,1:58.65 (2),Silver,800 metres,F,1972,,,,
3,Gunhild Hoffmeister,GDR,1:59.19 (3),Bronze,800 metres,F,1972,,,,
1,Lyudmila Bragina,URS,4:01.38 (1),Gold,"1,500 metres",F,1972,,,,
2,Gunhild Hoffmeister,GDR,4:02.83 (2),Silver,"1,500 metres",F,1972,,,,
3,Paola Cacchi,ITA,4:02.85 (3),Bronze,"1,500 metres",F,1972,,,,
1,Annelie Ehrhardt,GDR,12.59 (1),Gold,100 metres Hurdles,F,1972,,,,
2,Valeria Bufanu,ROU,12.84 (2),Silver,100 metres Hurdles,F,1972,,,,
3,Karin Balzer,GDR,12.90 (3),Bronze,100 metres Hurdles,F,1972,,,,
1,Ulrike Meyfarth,FRG,,Gold,High Jump,F,1972,,,,
2,Yordanka Blagoeva,BUL,,Silver,High Jump,F,1972,,,,
3,Ilona Gusenbauer,AUT,,Bronze,High Jump,F,1972,,,,
1,Heide Rosendahl,FRG,6.78 (1),Gold,Long Jump,F,1972,,,,
2,Diana Yorgova,BUL,6.77 (2),Silver,Long Jump,F,1972,,,,
3,Eva Å uranovÃ¡,TCH,6.67 (3),Bronze,Long Jump,F,1972,,,,
1,Nadezhda Chizhova,URS,21.03 (1),Gold,Shot Put,F,1972,,,,
2,Margitta Gummel,GDR,20.22 (2),Silver,Shot Put,F,1972,,,,
3,Ivanka Hristova,BUL,19.35 (3),Bronze,Shot Put,F,1972,,,,
1,Faina Melnik,URS,66.62 (1),Gold,Discus Throw,F,1972,,,,
2,Argentina Menis,ROU,65.06 (2),Silver,Discus Throw,F,1972,,,,
3,Vasilka Stoeva,BUL,64.34 (3),Bronze,Discus Throw,F,1972,,,,
1,Ruth Fuchs,GDR,63.88 (1),Gold,Javelin Throw,F,1972,,,,
2,Jacqueline Todten,GDR,62.54 (2),Silver,Javelin Throw,F,1972,,,,
3,Kate Schmidt,USA,59.94 (3),Bronze,Javelin Throw,F,1972,,,,
1,Hasely Crawford,TTO,10.06 (1),Gold,100 metres,M,1976,,,,
2,Don Quarrie,JAM,10.08 (2),Silver,100 metres,M,1976,,,,
3,Valery Borzov,URS,10.14 (3),Bronze,100 metres,M,1976,,,,
1,Don Quarrie,JAM,20.23 (1),Gold,200 metres,M,1976,,,,
2,Millard Hampton,USA,20.29 (2),Silver,200 metres,M,1976,,,,
3,Dwayne Evans,USA,20.43 (3),Bronze,200 metres,M,1976,,,,
1,Alberto Juantorena,CUB,44.26 (1),Gold,400 metres,M,1976,,,,
2,Fred Newhouse,USA,44.40 (2),Silver,400 metres,M,1976,,,,
3,Herman Frazier,USA,44.95 (3),Bronze,400 metres,M,1976,,,,
1,Alberto Juantorena,CUB,1:43.50 (1),Gold,800 metres,M,1976,,,,
2,Ivo Van Damme,BEL,1:43.86 (2),Silver,800 metres,M,1976,,,,
3,Rick Wohlhuter,USA,1:44.12 (3),Bronze,800 metres,M,1976,,,,
1,John Walker,NZL,3:39.17 (1),Gold,"1,500 metres",M,1976,,,,
2,Ivo Van Damme,BEL,3:39.27 (2),Silver,"1,500 metres",M,1976,,,,
3,Paul-Heinz Wellmann,FRG,3:39.33 (3),Bronze,"1,500 metres",M,1976,,,,
1,Lasse VirÃ©n,FIN,13:24.76 (1),Gold,"5,000 metres",M,1976,,,,
2,Dick Quax,NZL,13:25.16 (2),Silver,"5,000 metres",M,1976,,,,
3,Klaus-Peter Hildenbrand,FRG,13:25.38 (3),Bronze,"5,000 metres",M,1976,,,,
1,Lasse VirÃ©n,FIN,27:40.38 (1),Gold,"10,000 metres",M,1976,,,,
2,Carlos Lopes,POR,27:45.17 (2),Silver,"10,000 metres",M,1976,,,,
3,Brendan Foster,GBR,27:54.92 (3),Bronze,"10,000 metres",M,1976,,,,
1,Waldemar Cierpinski,GDR,,Gold,Marathon,M,1976,2-09:55.0,,,
2,Frank Shorter,USA,,Silver,Marathon,M,1976,2-10:45.8,,,
3,Karel Lismont,BEL,,Bronze,Marathon,M,1976,2-11:12.6,,,
1,Guy Drut,FRA,13.30 (1),Gold,110 metres Hurdles,M,1976,,,,
2,Alejandro CasaÃ±as,CUB,13.33 (2),Silver,110 metres Hurdles,M,1976,,,,
3,Willie Davenport,USA,13.38 (3),Bronze,110 metres Hurdles,M,1976,,,,
1,Edwin Moses,USA,47.63 (1),Gold,400 metres Hurdles,M,1976,,,,
2,Mike Shine,USA,48.69 (2),Silver,400 metres Hurdles,M,1976,,,,
3,Yevgeny Gavrilenko,URS,49.45 (3),Bronze,400 metres Hurdles,M,1976,,,,
1,Anders GÃ¤rderud,SWE,8:08.02 (1),Gold,"3,000 metres Steeplechase",M,1976,,,,
2,BronisÅaw Malinowski,POL,8:09.11 (2),Silver,"3,000 metres Steeplechase",M,1976,,,,
3,Frank Baumgartl,GDR,8:10.36 (3),Bronze,"3,000 metres Steeplechase",M,1976,,,,
1,,MEX,,Gold,20 kilometres Walk,M,1976,1-24:40.6,,,
2,,GDR,,Silver,20 kilometres Walk,M,1976,1-25:13.8,,,
3,,GDR,,Bronze,20 kilometres Walk,M,1976,1-25:29.4,,,
1,Jacek WszoÅa,POL,,Gold,High Jump,M,1976,,,,
2,Greg Joy,CAN,,Silver,High Jump,M,1976,,,,
3,Dwight Stones,USA,,Bronze,High Jump,M,1976,,,,
1,Tadeusz Ålusarski,POL,,Gold,Pole Vault,M,1976,,,,
2,Antti KalliomÃ¤ki,FIN,,Silver,Pole Vault,M,1976,,,,
3,Dave Roberts,USA,,Bronze,Pole Vault,M,1976,,,,
1,Arnie Robinson,USA,8.35 (1),Gold,Long Jump,M,1976,,,,
2,Randy Williams,USA,8.11 (2),Silver,Long Jump,M,1976,,,,
3,Frank Wartenberg,GDR,8.02 (3),Bronze,Long Jump,M,1976,,,,
1,Viktor Saneyev,URS,17.29 (1),Gold,Triple Jump,M,1976,,,,
2,James Butts,USA,17.18 (2),Silver,Triple Jump,M,1976,,,,
3,JoÃ£o do Pulo,BRA,16.90 (3),Bronze,Triple Jump,M,1976,,,,
1,Udo Beyer,GDR,21.05 (1),Gold,Shot Put,M,1976,,,,
2,Yevgeny Mironov,URS,21.03 (2),Silver,Shot Put,M,1976,,,,
3,Aleksandr Baryshnikov,URS,21.00 (3),Bronze,Shot Put,M,1976,,,,
1,Mac Wilkins,USA,67.50 (1),Gold,Discus Throw,M,1976,,,,
2,Wolfgang Schmidt,GDR,66.22 (2),Silver,Discus Throw,M,1976,,,,
3,John Powell,USA,65.70 (3),Bronze,Discus Throw,M,1976,,,,
1,Yury Sedykh,URS,77.52 (1),Gold,Hammer Throw,M,1976,,,,
2,Aleksey Spiridonov,URS,76.08 (2),Silver,Hammer Throw,M,1976,,,,
3,Anatoly Bondarchuk,URS,75.48 (3),Bronze,Hammer Throw,M,1976,,,,
1,MiklÃ³s NÃ©meth,HUN,94.58 (1),Gold,Javelin Throw,M,1976,,,,
2,Hannu Siitonen,FIN,87.92 (2),Silver,Javelin Throw,M,1976,,,,
3,Gheorghe Megelea,ROU,87.16 (3),Bronze,Javelin Throw,M,1976,,,,
1,Annegret Richter,FRG,11.08 (1),Gold,100 metres,F,1976,,,,
2,Renate Stecher,GDR,11.13 (2),Silver,100 metres,F,1976,,,,
3,Inge Helten,FRG,11.17 (3),Bronze,100 metres,F,1976,,,,
1,BÃ¤rbel Eckert,GDR,22.37 (1),Gold,200 metres,F,1976,,,,
2,Annegret Richter,FRG,22.39 (2),Silver,200 metres,F,1976,,,,
3,Renate Stecher,GDR,22.47 (3),Bronze,200 metres,F,1976,,,,
1,Irena SzewiÅska,POL,49.28 (1),Gold,400 metres,F,1976,,,,
2,Christina Brehmer,GDR,50.51 (2),Silver,400 metres,F,1976,,,,
3,Ellen Streidt,GDR,50.55 (3),Bronze,400 metres,F,1976,,,,
1,Tatyana Kazankina,URS,1:54.94 (1),Gold,800 metres,F,1976,,,,
2,Nikolina Shtereva,BUL,1:55.42 (2),Silver,800 metres,F,1976,,,,
3,Elfi Zinn,GDR,1:55.60 (3),Bronze,800 metres,F,1976,,,,
1,Tatyana Kazankina,URS,4:05.48 (1),Gold,"1,500 metres",F,1976,,,,
2,Gunhild Hoffmeister,GDR,4:06.02 (2),Silver,"1,500 metres",F,1976,,,,
3,Ulrike Klapezynski,GDR,4:06.09 (3),Bronze,"1,500 metres",F,1976,,,,
1,Johanna Schaller,GDR,12.77 (1),Gold,100 metres Hurdles,F,1976,,,,
2,Tatyana Anisimova,URS,12.78 (2),Silver,100 metres Hurdles,F,1976,,,,
3,Nataliya Lebedeva,URS,12.80 (3),Bronze,100 metres Hurdles,F,1976,,,,
1,Rosie Ackermann,GDR,,Gold,High Jump,F,1976,,,,
2,Sara Simeoni,ITA,,Silver,High Jump,F,1976,,,,
3,Yordanka Blagoeva,BUL,,Bronze,High Jump,F,1976,,,,
1,Angela Voigt,GDR,6.72 (1),Gold,Long Jump,F,1976,,,,
2,Kathy McMillan,USA,6.66 (2),Silver,Long Jump,F,1976,,,,
3,Lidiya Alfeyeva,URS,6.60 (3),Bronze,Long Jump,F,1976,,,,
1,Ivanka Hristova,BUL,,Gold,Shot Put,F,1976,,,21.16,
2,Nadezhda Chizhova,URS,,Silver,Shot Put,F,1976,,,20.96,
3,Helena FibingerovÃ¡,TCH,,Bronze,Shot Put,F,1976,,,20.67,
1,Evelin Schlaak,GDR,69.00 (1),Gold,Discus Throw,F,1976,,,,
2,Mariya Vergova,BUL,67.30 (2),Silver,Discus Throw,F,1976,,,,
3,Gabriele Hinzmann,GDR,66.84 (3),Bronze,Discus Throw,F,1976,,,,
1,Ruth Fuchs,GDR,65.94 (1),Gold,Javelin Throw,F,1976,,,,
2,Marion Becker,FRG,64.70 (2),Silver,Javelin Throw,F,1976,,,,
3,Kate Schmidt,USA,63.96 (3),Bronze,Javelin Throw,F,1976,,,,
1,Allan Wells,GBR,10.25 (1),Gold,100 metres,M,1980,,,,
2,Silvio Leonard,CUB,10.25 (2),Silver,100 metres,M,1980,,,,
3,Petar Petrov,BUL,10.39 (3),Bronze,100 metres,M,1980,,,,
1,Pietro Mennea,ITA,20.19 (1),Gold,200 metres,M,1980,,,,
2,Allan Wells,GBR,20.21 (2),Silver,200 metres,M,1980,,,,
3,Don Quarrie,JAM,20.29 (3),Bronze,200 metres,M,1980,,,,
1,Viktor Markin,URS,44.60 (1),Gold,400 metres,M,1980,,,,
2,Rick Mitchell,AUS,44.84 (2),Silver,400 metres,M,1980,,,,
3,Frank Schaffer,GDR,44.87 (3),Bronze,400 metres,M,1980,,,,
1,Steve Ovett,GBR,1:45.4 (1),Gold,800 metres,M,1980,,,,
2,Seb Coe,GBR,1:45.9 (2),Silver,800 metres,M,1980,,,,
3,Nikolay Kirov,URS,1:46.0 (3),Bronze,800 metres,M,1980,,,,
1,Seb Coe,GBR,3:38.4 (1),Gold,"1,500 metres",M,1980,,,,
2,JÃ¼rgen Straub,GDR,3:38.8 (2),Silver,"1,500 metres",M,1980,,,,
3,Steve Ovett,GBR,3:39.0 (3),Bronze,"1,500 metres",M,1980,,,,
1,Miruts Yifter,ETH,13:21.0 (1),Gold,"5,000 metres",M,1980,,,,
2,Suleiman Nyambui,TAN,13:21.6 (2),Silver,"5,000 metres",M,1980,,,,
3,Kaarlo Maaninka,FIN,13:22.0 (3),Bronze,"5,000 metres",M,1980,,,,
1,Miruts Yifter,ETH,27:42.7 (1),Gold,"10,000 metres",M,1980,,,,
2,Kaarlo Maaninka,FIN,27:44.3 (2),Silver,"10,000 metres",M,1980,,,,
3,Mohamed Kedir,ETH,27:44.7 (3),Bronze,"10,000 metres",M,1980,,,,
1,Waldemar Cierpinski,GDR,,Gold,Marathon,M,1980,2-11:03,,,
2,Gerard Nijboer,NED,,Silver,Marathon,M,1980,2-11:20,,,
